city,five_year_bin,avg_heatwave_days,avg_extreme_rain_days
Abuja,2000-2004,76.6,0.6
Abuja,2005-2009,65.8,0.4
Abuja,2010-2014,50.2,0
Abuja,2015-2019,83.6,1.2
Abuja,2020-2023,52.75,1.25
Enugu,2000-2004,0.4,1
Enugu,2005-2009,0,0.4
Enugu,2010-2014,0,0
Enugu,2015-2019,0.8,1.8
Enugu,2020-2023,4,1
Ibadan,2000-2004,0.6,0
Ibadan,2005-2009,0.2,1.2
Ibadan,2010-2014,0,0.2
Ibadan,2015-2019,0.6,1.2
Ibadan,2020-2023,0,3
Kaduna,2000-2004,45.4,0.2
Kaduna,2005-2009,80.4,0
Kaduna,2010-2014,70.4,0
Kaduna,2015-2019,58.6,1.2
Kaduna,2020-2023,13.75,25
Kano,2000-2004,175.8,0
Kano,2005-2009,190,0
Kano,2010-2014,178.6,0
Kano,2015-2019,203,0.6
Kano,2020-2023,144.75,4.25
Lagos,2000-2004,0,0.4
Lagos,2005-2009,0,1
Lagos,2010-2014,0,0.2
Lagos,2015-2019,0,1.4
Lagos,2020-2023,0,1.5
Maiduguri,2000-2004,238.8,0
Maiduguri,2005-2009,231.4,0
Maiduguri,2010-2014,200.2,0
Maiduguri,2015-2019,219.4,0.6
Maiduguri,2020-2023,216.5,0.5
Port Harcourt,2000-2004,0,3
Port Harcourt,2005-2009,0,4.8
Port Harcourt,2010-2014,0,1.2
Port Harcourt,2015-2019,0,6.4
Port Harcourt,2020-2023,0,5
